Date,Open,High,Low,Close,Adj Close,Volume
2023-08-08,44888.94921875,45096.8515625,44817.8515625,44964.44921875,44964.44921875,229400
2023-08-09,44973.44921875,44975.0,44533.75,44880.69921875,44880.69921875,177300
2023-08-10,44797.6484375,44980.3515625,44418.3984375,44541.80078125,44541.80078125,232000
2023-08-11,44568.1484375,44571.25,44120.8984375,44199.1015625,44199.1015625,196900
2023-08-14,44066.6015625,44212.75,43776.8984375,44090.94921875,44090.94921875,172300
2023-08-16,43726.25,44002.80078125,43600.3515625,43946.3984375,43946.3984375,0
2023-08-17,43897.25,44071.8515625,43745.1015625,43891.3515625,43891.3515625,266400
2023-08-18,43724.75,43957.6484375,43672.44921875,43851.05078125,43851.05078125,167600
2023-08-21,43952.8515625,44113.80078125,43862.0,44002.0,44002.0,126300
2023-08-22,44125.0,44151.30078125,43938.69921875,43993.25,43993.25,160700
2023-08-23,44064.5,44521.6484375,43952.05078125,44479.05078125,44479.05078125,212400
2023-08-24,44704.19921875,44949.8984375,44433.75,44496.19921875,44496.19921875,220400
2023-08-25,44276.19921875,44359.1015625,43983.75,44231.44921875,44231.44921875,152500
2023-08-28,44253.6484375,44610.3984375,44201.44921875,44494.6484375,44494.6484375,163000
2023-08-29,44655.75,44673.0,44429.80078125,44495.25,44495.25,140300
2023-08-30,44706.55078125,44779.6484375,44149.80078125,44232.6015625,44232.6015625,153100
2023-08-31,44265.8515625,44399.6484375,43895.05078125,43989.1484375,43989.1484375,705100
2023-09-01,43996.1015625,44568.55078125,43830.75,44436.1015625,44436.1015625,320800
2023-09-04,44647.6484375,44656.05078125,44310.94921875,44578.30078125,44578.30078125,0
2023-09-05,44625.05078125,44668.69921875,44401.69921875,44532.1484375,44532.1484375,225500
2023-09-06,44494.6484375,44577.0,44207.25,44409.1015625,44409.1015625,252000
2023-09-07,44418.05078125,44915.55078125,44341.19921875,44878.3515625,44878.3515625,169100
2023-09-08,44953.6484375,45383.3515625,44812.1484375,45156.3984375,45156.3984375,179100
2023-09-11,45340.80078125,45636.19921875,45231.30078125,45570.69921875,45570.69921875,228100
2023-09-12,45893.80078125,45893.80078125,45322.55078125,45511.3515625,45511.3515625,271400
2023-09-13,45449.3515625,45990.5,45299.3984375,45909.44921875,45909.44921875,441700
2023-09-14,46013.30078125,46153.8984375,45801.5,46000.8515625,46000.8515625,238600
2023-09-15,46122.1484375,46310.3984375,46028.75,46231.5,46231.5,278400
2023-09-18,46100.94921875,46252.94921875,45906.8984375,45979.8515625,45979.8515625,348800
2023-09-20,45493.69921875,45745.1484375,45276.3984375,45384.6015625,45384.6015625,334000
2023-09-21,45179.6015625,45276.80078125,44592.44921875,44623.8515625,44623.8515625,257700
2023-09-22,44707.3515625,44996.75,44548.8984375,44612.05078125,44612.05078125,249400
2023-09-25,44615.0,44936.55078125,44400.8984375,44766.1015625,44766.1015625,266500
2023-09-26,44722.5,44773.80078125,44532.44921875,44624.19921875,44624.19921875,188500
2023-09-27,44465.8984375,44668.0,44182.5,44588.30078125,44588.30078125,221900
2023-09-28,44700.3515625,44756.80078125,44248.19921875,44300.94921875,44300.94921875,389900
2023-09-29,44445.3515625,44755.05078125,44344.8984375,44584.55078125,44584.55078125,156000
2023-10-03,44561.5,44566.30078125,44243.1015625,44399.05078125,44399.05078125,192600
2023-10-04,44108.1484375,44161.3515625,43857.5,43964.05078125,43964.05078125,310300
2023-10-05,44181.3515625,44391.8515625,44108.30078125,44213.3515625,44213.3515625,243400
2023-10-06,44395.3984375,44500.69921875,44242.94921875,44360.6015625,44360.6015625,157500
2023-10-09,44057.80078125,44113.19921875,43796.75,43886.5,43886.5,162300
2023-10-10,44027.55078125,44487.25,44004.55078125,44360.1484375,44360.1484375,175300
2023-10-11,44554.8984375,44710.55078125,44411.3984375,44516.8984375,44516.8984375,213700
2023-10-12,44571.55078125,44693.05078125,44530.05078125,44599.19921875,44599.19921875,112100
2023-10-13,44322.05078125,44563.05078125,44203.69921875,44287.94921875,44287.94921875,169900
2023-10-16,44204.75,44356.94921875,44044.3984375,44225.8984375,44225.8984375,140400
2023-10-17,44589.80078125,44589.8515625,44336.94921875,44409.5,44409.5,120500
2023-10-18,44404.19921875,44412.5,43861.44921875,43888.69921875,43888.69921875,217200
2023-10-19,43616.75,44058.80078125,43558.1015625,43754.5,43754.5,156600
2023-10-20,43584.25,43877.5,43567.44921875,43723.05078125,43723.05078125,152400
2023-10-23,43822.69921875,43831.30078125,43029.44921875,43151.19921875,43151.19921875,201400
2023-10-25,43308.30078125,43397.44921875,42758.3984375,42832.0,42832.0,188300
2023-10-26,42708.3984375,42716.19921875,42105.3984375,42280.1484375,42280.1484375,307100
2023-10-27,42555.6015625,42840.1484375,42482.75,42782.0,42782.0,213900
2023-10-30,42721.3984375,43112.5,42390.5,43039.1484375,43039.1484375,189000
2023-10-31,43356.8515625,43356.8515625,42797.1484375,42845.94921875,42845.94921875,157400
2023-11-01,42694.25,42815.1484375,42589.6484375,42700.94921875,42700.94921875,145200
2023-11-02,43018.69921875,43271.5,42796.44921875,43017.19921875,43017.19921875,144700
2023-11-03,43318.30078125,43416.1015625,43221.0,43318.25,43318.25,124100
2023-11-06,43627.75,43648.69921875,43415.19921875,43619.3984375,43619.3984375,149900
2023-11-07,43598.8515625,43799.3515625,43283.8515625,43737.8984375,43737.8984375,198200
2023-11-08,43791.80078125,43797.55078125,43547.75,43658.6484375,43658.6484375,163400
2023-11-09,43626.1015625,43876.75,43542.6484375,43683.6015625,43683.6015625,108900
2023-11-10,43543.25,43908.69921875,43504.94921875,43820.1015625,43820.1015625,90000
2023-11-13,43915.1015625,43970.75,43681.3984375,43891.25,43891.25,169600
2023-11-15,44398.44921875,44408.55078125,44164.55078125,44201.69921875,44201.69921875,202500
2023-11-16,44251.69921875,44420.94921875,44064.1484375,44161.55078125,44161.55078125,144300
2023-11-17,43656.25,43872.8515625,43513.8515625,43583.94921875,43583.94921875,227400
2023-11-20,43591.5,43724.0,43450.05078125,43584.94921875,43584.94921875,124300
2023-11-21,43790.94921875,43790.94921875,43586.44921875,43689.1484375,43689.1484375,108200
2023-11-22,43663.6015625,43692.5,43230.94921875,43449.6015625,43449.6015625,150900
2023-11-23,43452.75,43649.6484375,43451.3515625,43577.5,43577.5,72300
2023-11-24,43607.3515625,43806.5,43566.1484375,43769.1015625,43769.1015625,96800
2023-11-28,43851.55078125,43960.30078125,43739.80078125,43880.94921875,43880.94921875,151200
2023-11-29,44081.75,44630.3515625,44003.44921875,44566.44921875,44566.44921875,152300
2023-11-30,44711.19921875,44764.80078125,44254.6015625,44481.75,44481.75,343200
2023-12-01,44580.1484375,44951.1015625,44531.75,44814.19921875,44814.19921875,204900
2023-12-04,45671.5,46484.44921875,45484.19921875,46431.3984375,46431.3984375,311200
2023-12-05,46895.8984375,47230.55078125,46653.6484375,47012.25,47012.25,326100
2023-12-06,47256.75,47259.8515625,46750.19921875,46834.55078125,46834.55078125,244200
2023-12-07,46735.3984375,46927.69921875,46507.1484375,46841.3984375,46841.3984375,208100
2023-12-08,46797.19921875,47303.6484375,46793.8984375,47262.0,47262.0,218300
2023-12-11,47233.30078125,47588.0,47186.6015625,47314.25,47314.25,182500
2023-12-12,47421.69921875,47454.0,47004.05078125,47097.55078125,47097.55078125,182000
2023-12-13,47190.75,47201.94921875,46886.8984375,47092.25,47092.25,202300
2023-12-14,47567.6484375,47943.6015625,47510.8515625,47732.30078125,47732.30078125,193100
2023-12-15,47939.8984375,48219.94921875,47632.8515625,48143.55078125,48143.55078125,313900
2023-12-18,48068.5,48076.6015625,47806.69921875,47867.69921875,47867.69921875,157300
2023-12-19,47940.3984375,48017.0,47646.05078125,47870.8984375,47870.8984375,189800
2023-12-20,48085.3515625,48166.1484375,47202.6484375,47445.30078125,47445.30078125,242500
2023-12-21,47172.44921875,47932.3984375,46919.69921875,47840.1484375,47840.1484375,208000
2023-12-22,47837.75,48071.3984375,47415.8515625,47491.8515625,47491.8515625,165800
2023-12-26,47576.3984375,47838.44921875,47411.6484375,47724.8515625,47724.8515625,118700
2023-12-27,47818.5,48347.6484375,47806.69921875,48282.19921875,48282.19921875,184900
2023-12-28,48479.05078125,48636.44921875,48343.1484375,48508.55078125,48508.55078125,391100
2023-12-29,48374.8515625,48477.69921875,48091.8515625,48292.25,48292.25,174000
